WorkTimeInSeconds...1,multiplier,amount,age,gender,income,WorkTimeInSeconds...7,"Q3_1 On a scale of 0 to 100, how would you describe your political views?","Q8_1 On a scale of 0 to 100, how would you describe your religious orientation?","Q5 In the 2016 Presidential election, who did you vote for?",Q9 What State do you live in?,Q7 Do you consider yourself a:,"Q8 Aside from weddings and funerals, how often do you attend religious services?",batch
49,0.79,0,30-39,Female,"$60,000 - $79,999",58,19,51,Donald Trump,OH,Republican,Once or twice a month,f
68,0.92,0,40-49,Female,"Over $100,000",52,67,0,Hillary Clinton,MI,Democrat,Never,f
106,1.01,0.2,50-59,Female,"$60,000 - $79,999",141,78,16,Donald Trump,MD,Republican,Never,f
170,1.25,0.6,30-39,Female,"$40,000 - $59,999",65,8,100,Didn't vote,CA,Republican,More than once a week,f
78,1.77,1,30-39,Female,"$80,000 - $99,999",49,62,0,Hillary Clinton,FL,Democrat,Never,f
87,0.6,0,60-69,Female,"Over $100,000",49,100,0,Hillary Clinton,MD,Democrat,Never,f
119,0.62,0.5,18-29,Female,"$60,000 - $79,999",131,51,51,Donald Trump,TX,Republican,Seldom,f
82,1.41,0.4,50-59,Female,"$40,000 - $59,999",45,100,0,Didn't vote,WA,Democrat,Never,f
187,0.99,0,18-29,Male,"$60,000 - $79,999",65,49,0,Hillary Clinton,OR,Independent,Never,f
50,0.55,0,30-39,Male,"$40,000 - $59,999",34,66,36,Didn't vote,IL,Independent,Seldom,f
334,0.57,0,18-29,Male,"Over $100,000",64,100,81,Hillary Clinton,NY,Democrat,Once a week,f
444,1.66,0.165,18-29,Male,"$80,000 - $99,999",311,85,95,Donald Trump,TX,Republican,Once a week,f
151,1.15,0.23,18-29,Female,"$20,000 - $39,999",285,87,64,Donald Trump,TX,Independent,A few times a year,f
173,1.38,0.2,18-29,Female,"Under $20,000",98,76,23,Didn't vote,PA,Independent,Never,f
57,0.79,0,18-29,Male,"$80,000 - $99,999",601,5,9,Donald Trump,MI,Republican,Seldom,f
115,0.47,0,30-39,Female,"$20,000 - $39,999",104,8,59,Donald Trump,GA,Republican,Never,f
209,1.46,0.41,30-39,Male,"$20,000 - $39,999",54,96,6,Someone else,CO,Independent,Never,f
632,1.63,1,18-29,Male,"$20,000 - $39,999",635,61,71,Hillary Clinton,MD,Democrat,A few times a year,f
62,1.68,0,18-29,Male,"$40,000 - $59,999",31,46,22,Donald Trump,AL,Republican,Never,f
86,0.02,0,70 or over,Male,"$20,000 - $39,999",48,42,8,Donald Trump,TN,Independent,Never,f
137,1.52,0,30-39,Female,"$20,000 - $39,999",53,100,60,Hillary Clinton,NV,Democrat,Never,f
134,0.3,1,40-49,Female,Prefer not to state,104,51,70,Donald Trump,MI,Independent,A few times a year,f
1570,0.53,0.4,30-39,Female,"$60,000 - $79,999",1075,51,71,Donald Trump,IA,Independent,A few times a year,f
221,1.27,1,30-39,Male,"$20,000 - $39,999",461,72,83,Donald Trump,TX,Democrat,A few times a year,f
108,0.28,0,18-29,Female,"$20,000 - $39,999",69,51,51,Hillary Clinton,TX,Democrat,Seldom,f
117,1.21,1,50-59,Female,"Under $20,000",44,17,32,Hillary Clinton,VA,Independent,Once a week,f
198,1.03,1,40-49,Male,"$40,000 - $59,999",46,84,73,Donald Trump,TX,Republican,Once a week,f
106,1.14,0.5,40-49,Male,"$40,000 - $59,999",1654,68,62,Donald Trump,TX,Democrat,Once a week,f
541,0.6,0,18-29,Female,"$40,000 - $59,999",41,77,0,Hillary Clinton,CA,Democrat,Never,f
109,1.17,0.4,60-69,Female,"$80,000 - $99,999",45,60,0,Didn't vote,TX,Democrat,Never,f
63,1.75,0,30-39,Female,"$60,000 - $79,999",65,59,8,Hillary Clinton,CO,Independent,Seldom,f
55,0.05,1,18-29,Female,"$40,000 - $59,999",41,63,94,Donald Trump,PA,Republican,Never,f
140,0.4,0.4,40-49,Female,"Over $100,000",172,93,8,Someone else,IA,Democrat,Never,f
86,0.89,0.2,60-69,Female,"Over $100,000",39,99,4,Hillary Clinton,SC,Democrat,Never,f
111,0.71,0,30-39,Male,"$40,000 - $59,999",844,98,77,Hillary Clinton,FL,Democrat,Seldom,f
156,1.62,0.32,40-49,Male,"$60,000 - $79,999",73,78,80,Hillary Clinton,UT,Something else,Once a week,f
122,1.88,0.8,18-29,Male,"$60,000 - $79,999",36,40,92,Didn't vote,FL,Republican,Seldom,f
32,1.15,0,18-29,Female,"Over $100,000",24,0,100,Donald Trump,CA,Republican,Once a week,f
214,0.58,1,18-29,Male,"$40,000 - $59,999",802,74,81,Didn't vote,TX,Democrat,Once a week,f
214,0.13,0.13,18-29,Male,"$20,000 - $39,999",209,72,69,Donald Trump,TX,Independent,Once a week,f
133,0.65,0,30-39,Male,"Under $20,000",454,0,78,Donald Trump,MO,Republican,Seldom,f
114,0.39,0,30-39,Female,"Under $20,000",36,16,0,Didn't vote,MA,Republican,Never,f
90,1.62,1,18-29,Male,"$40,000 - $59,999",106,44,51,Hillary Clinton,AL,Republican,Once or twice a month,f
56,0.08,0,30-39,Male,"$80,000 - $99,999",31,45,2,Donald Trump,WI,Republican,A few times a year,f
944,1.15,0,18-29,Male,"Under $20,000",337,65,0,Hillary Clinton,OH,Democrat,Never,f
136,1.7,0.6,30-39,Male,"$60,000 - $79,999",204,21,50,Donald Trump,GA,Republican,Never,f
239,0.01,0,18-29,Male,"$20,000 - $39,999",55,51,87,Didn't vote,GA,Independent,Once or twice a month,f
98,0.91,0,30-39,Male,"$40,000 - $59,999",73,92,0,Hillary Clinton,CA,Democrat,Never,f
228,1.03,0,18-29,Female,"$60,000 - $79,999",39,13,0,Donald Trump,NJ,Republican,A few times a year,f
74,0.14,0,18-29,Male,"$80,000 - $99,999",36,96,13,Hillary Clinton,MO,Democrat,Seldom,f
90,1.49,0,30-39,Male,"$20,000 - $39,999",32,88,1,Hillary Clinton,NY,Independent,Never,f
88,0.53,0,40-49,Male,"$40,000 - $59,999",52,100,5,Hillary Clinton,FL,Democrat,Never,f
117,0.78,0,30-39,Male,"$80,000 - $99,999",69,8,0,Donald Trump,FL,Republican,Never,f
117,0.41,0,18-29,Female,"Over $100,000",58,93,73,Didn't vote,NY,Democrat,A few times a year,f
1448,0.02,0.8,30-39,Female,"Over $100,000",2789,80,0,Didn't vote,MD,Democrat,Never,f
297,1.5,0,18-29,Male,"$20,000 - $39,999",109,86,0,Hillary Clinton,KY,Democrat,Never,f
84,1.46,0.4,30-39,Female,"Over $100,000",44,41,0,Hillary Clinton,PA,Republican,Never,f
105,0.3,0.2,30-39,Female,"$40,000 - $59,999",59,48,4,Donald Trump,PA,Republican,Never,f
201,1.04,1,30-39,Male,"$40,000 - $59,999",69,77,84,Donald Trump,TX,Republican,A few times a year,f
1105,1.32,0.8,18-29,Female,"Under $20,000",2760,94,0,Hillary Clinton,AL,Independent,Never,f
176,1.3,1,40-49,Male,"$20,000 - $39,999",65,2,95,Donald Trump,TX,Republican,Once or twice a month,f
116,1.92,1,30-39,Male,"$20,000 - $39,999",47,0,0,Someone else,MO,Republican,Never,f
131,1.9,0.25,40-49,Female,"$40,000 - $59,999",39,60,0,Hillary Clinton,WA,Independent,Seldom,f
102,1.13,0.4,30-39,Male,"$20,000 - $39,999",63,91,0,Hillary Clinton,IN,Democrat,Never,f
95,1.68,0.8,18-29,Female,"Under $20,000",97,88,20,Someone else,GA,Democrat,Seldom,f
180,0.45,0,18-29,Male,"$60,000 - $79,999",45,1,66,Someone else,WA,Republican,Once a week,f
167,0.49,0,30-39,Female,"$20,000 - $39,999",279,9,24,Donald Trump,LA,Independent,A few times a year,f
68,0.32,1,18-29,Male,"$40,000 - $59,999",47,60,0,Hillary Clinton,PA,Democrat,Never,f
466,1.67,0,18-29,Male,"$40,000 - $59,999",26,89,0,Hillary Clinton,NY,Democrat,Never,f
342,1.27,0.3,30-39,Female,"$20,000 - $39,999",2252,50,71,Donald Trump,NJ,Republican,A few times a year,f
71,1.58,0.32,30-39,Female,"Under $20,000",89,60,63,Didn't vote,GA,Democrat,Once a week,f
81,0.96,0.5,40-49,Female,"Over $100,000",920,93,0,Hillary Clinton,AL,Democrat,Never,f
122,0.65,0,18-29,Female,"$80,000 - $99,999",57,31,27,Hillary Clinton,NJ,Republican,Seldom,f
134,0.66,0,30-39,Female,"$60,000 - $79,999",41,100,0,Hillary Clinton,NC,Democrat,Never,f
12,0.03,1,70 or over,Male,"$80,000 - $99,999",159,100,100,Donald Trump,NJ,Republican,Once a week,f
78,1.82,0.1,30-39,Female,"$60,000 - $79,999",97,50,58,Didn't vote,MN,Independent,Never,f
502,0.27,0.2,30-39,Female,"$60,000 - $79,999",35,51,8,Didn't vote,MA,Independent,Seldom,f
121,1.32,0.4,40-49,Female,"$60,000 - $79,999",61,85,0,Hillary Clinton,CA,Democrat,Never,f
121,1.2,0,30-39,Male,"$20,000 - $39,999",101,19,0,Donald Trump,WA,Republican,Never,f
106,1.02,0,30-39,Male,"Under $20,000",49,10,92,Someone else,MS,Independent,Once a week,f
83,1.62,0,30-39,Male,"$80,000 - $99,999",39,40,71,Donald Trump,GA,Independent,A few times a year,f
1016,1.03,0,18-29,Female,"Under $20,000",306,100,0,Didn't vote,PA,Something else,Never,f
212,1.18,0,30-39,Male,"Over $100,000",40,86,0,Hillary Clinton,MI,Democrat,Never,f
132,1.06,1,50-59,Male,"$60,000 - $79,999",64,79,72,Someone else,UT,Independent,Once a week,f
107,1.72,0.25,30-39,Female,"Over $100,000",35,81,0,Didn't vote,GA,Democrat,Never,f
415,1.38,0,30-39,Male,"$40,000 - $59,999",29,50,0,Hillary Clinton,LA,Independent,Never,f
249,0.11,0.11,18-29,Male,"$20,000 - $39,999",53,81,0,Didn't vote,DE,Democrat,A few times a year,f
543,1.06,0,40-49,Male,"$60,000 - $79,999",645,91,0,Hillary Clinton,AZ,Democrat,Never,f
86,0.62,0.5,40-49,Female,"Over $100,000",328,13,39,Donald Trump,IL,Republican,A few times a year,f
689,1.02,0,30-39,Female,"$20,000 - $39,999",55,73,59,Hillary Clinton,TX,Democrat,Seldom,f
122,0.65,0.6,30-39,Male,"$60,000 - $79,999",100,88,14,Didn't vote,NY,Republican,Never,f
260,1.42,0.6,70 or over,Male,"$60,000 - $79,999",80,74,3,Someone else,MN,Independent,Never,f
227,1.1,0,30-39,Female,"Over $100,000",41,88,20,Didn't vote,KY,Democrat,Seldom,f
631,0.21,0,40-49,Male,"Under $20,000",2317,81,0,Hillary Clinton,CA,Independent,Never,f
84,0.76,0,18-29,Female,"$40,000 - $59,999",97,81,3,Didn't vote,NY,Democrat,Seldom,f
68,1.32,0,18-29,Female,"$40,000 - $59,999",31,100,0,Hillary Clinton,NY,Democrat,Never,f
93,1.53,0,40-49,Female,"Over $100,000",62,24,3,Donald Trump,CO,Republican,Never,f
1149,1.37,0,50-59,Male,"$20,000 - $39,999",55,100,0,Hillary Clinton,LA,Democrat,Never,f
89,1.81,1,30-39,Female,"$80,000 - $99,999",78,90,0,Hillary Clinton,NJ,Democrat,Never,f
1188,0.21,1,18-29,Male,"$20,000 - $39,999",28,84,0,Hillary Clinton,NC,Democrat,Never,f
291,1.9,0.2,18-29,Female,"$60,000 - $79,999",61,100,19,Hillary Clinton,AL,Democrat,A few times a year,f
124,0.16,0.2,30-39,Female,"$40,000 - $59,999",89,89,6,Hillary Clinton,PA,Democrat,Never,f
552,0.29,0,30-39,Female,"$40,000 - $59,999",1475,100,0,Hillary Clinton,NY,Democrat,Never,f
132,0.1,0,40-49,Female,"$60,000 - $79,999",46,71,0,Hillary Clinton,MI,Democrat,Never,f
78,1.39,0.2,18-29,Female,"$20,000 - $39,999",41,64,74,Hillary Clinton,WA,Democrat,Once a week,f
235,1.79,1,50-59,Female,"$20,000 - $39,999",82,51,83,Hillary Clinton,RI,Independent,Seldom,f
98,0.53,1,40-49,Female,"$80,000 - $99,999",90,29,81,Hillary Clinton,NY,Republican,Once a week,f
249,0.79,0.4,30-39,Male,"$80,000 - $99,999",88,75,84,Someone else,AL,Democrat,Once a week,f
141,0.65,0.4,30-39,Male,"Under $20,000",49,93,0,Hillary Clinton,NJ,Independent,Never,f
236,0.11,0,30-39,Male,Prefer not to state,27,50,0,Didn't vote,MO,Independent,Never,f
553,1.43,0.5,30-39,Male,"Over $100,000",38,88,61,Hillary Clinton,TN,Democrat,Once a week,f
77,1.49,0,30-39,Female,"$40,000 - $59,999",31,81,45,Hillary Clinton,IN,Democrat,A few times a year,f
64,1.98,0,30-39,Female,"$40,000 - $59,999",67,93,5,Hillary Clinton,IL,Democrat,Never,f
839,1.63,0.25,50-59,Female,"$40,000 - $59,999",166,59,3,Someone else,WA,Independent,Seldom,f
157,1.01,0.4,50-59,Female,"$20,000 - $39,999",58,40,59,Didn't vote,FL,Independent,Seldom,f
18,0.42,0.6,60-69,Male,"$80,000 - $99,999",15,31,85,Donald Trump,TX,Republican,Once a week,f
977,1.81,0.5,18-29,Male,"$60,000 - $79,999",106,0,81,Donald Trump,FL,Independent,Once a week,f
1306,0.65,1,40-49,Male,"$40,000 - $59,999",80,62,67,Donald Trump,TX,Something else,Once or twice a month,f
97,0.13,0.2,40-49,Female,"$20,000 - $39,999",71,100,71,Hillary Clinton,OH,Democrat,Seldom,f
169,1.19,1,30-39,Male,"$40,000 - $59,999",46,5,100,Didn't vote,FL,Republican,Once or twice a month,f
55,0.24,1,40-49,Female,Prefer not to state,29,95,0,Hillary Clinton,CA,Democrat,Never,f
337,0.49,0.49,40-49,Male,"$60,000 - $79,999",82,61,67,Someone else,UT,Independent,Once or twice a month,f
69,0.95,1,40-49,Male,"Over $100,000",76,91,85,Donald Trump,TX,Republican,Once a week,f
81,0.46,1,18-29,Female,"$80,000 - $99,999",100,24,100,Someone else,TX,Republican,A few times a year,f
110,1.56,0.4,30-39,Female,"Over $100,000",39,100,0,Hillary Clinton,WI,Democrat,Seldom,f
56,1.79,0,30-39,Female,"$20,000 - $39,999",58,81,0,Hillary Clinton,MA,Independent,Never,f
107,1.93,0.6,50-59,Female,"$60,000 - $79,999",55,50,100,Donald Trump,NC,Republican,Once or twice a month,f
366,1.27,0,40-49,Male,"Over $100,000",55,43,66,Didn't vote,PA,Independent,Seldom,f
147,0.29,0.6,40-49,Female,"$20,000 - $39,999",65,51,19,Didn't vote,MI,Independent,Seldom,f
121,1.08,0.55,30-39,Male,"$40,000 - $59,999",59,91,8,Someone else,MA,Independent,Never,f
64,1.95,0,18-29,Male,"$40,000 - $59,999",25,23,80,Hillary Clinton,CA,Republican,A few times a year,f
187,1.82,1,30-39,Male,"$80,000 - $99,999",55,100,10,Hillary Clinton,WA,Democrat,Never,f
87,1.39,1,18-29,Female,"Under $20,000",37,50,0,Didn't vote,FL,Independent,Never,f
427,0.43,0.1,18-29,Male,"$20,000 - $39,999",41,0,56,Donald Trump,PA,Republican,Once a week,f
685,0.63,0,30-39,Female,"$40,000 - $59,999",34,100,0,Hillary Clinton,NY,Something else,Never,f
95,1.57,0.6,40-49,Female,"Over $100,000",45,70,29,Hillary Clinton,CO,Democrat,Seldom,f
345,1.01,1,30-39,Female,"$60,000 - $79,999",42,32,90,Donald Trump,NC,Independent,Once a week,f
97,1.18,1,40-49,Male,"$80,000 - $99,999",49,81,0,Hillary Clinton,AL,Democrat,Never,f
86,0.6,0,18-29,Female,"$80,000 - $99,999",40,43,65,Donald Trump,TX,Independent,A few times a year,f
72,1.98,0.2,50-59,Male,"$60,000 - $79,999",36,81,0,Hillary Clinton,UT,Democrat,Never,f
355,1.94,0,30-39,Male,"$40,000 - $59,999",43,68,66,Hillary Clinton,NJ,Democrat,A few times a year,f
106,0.78,0.5,18-29,Male,"Under $20,000",27,82,0,Hillary Clinton,PA,Democrat,Never,f
229,1.33,0.8,40-49,Male,"$40,000 - $59,999",1249,76,77,Donald Trump,NY,Republican,Once a week,f
90,0.81,0.2,18-29,Female,"Over $100,000",71,28,21,Donald Trump,FL,Republican,Never,f
75,1.95,1,30-39,Female,"$80,000 - $99,999",41,81,0,Hillary Clinton,IA,Independent,Never,f
267,1.22,0.12,18-29,Male,"$60,000 - $79,999",69,42,59,Donald Trump,MA,Independent,Seldom,f
118,0.38,1,30-39,Female,Prefer not to state,1359,14,51,Donald Trump,NC,Republican,A few times a year,f
117,0.09,0.2,18-29,Male,"$20,000 - $39,999",461,49,3,Someone else,MN,Independent,Never,f
143,1.94,0,18-29,Female,"$60,000 - $79,999",114,62,0,Donald Trump,VA,Independent,Never,f
66,0.8,0,18-29,Female,"$60,000 - $79,999",32,29,100,Someone else,OH,Republican,More than once a week,f
75,1.96,0,30-39,Male,"$20,000 - $39,999",32,55,5,Donald Trump,IL,Democrat,Seldom,f
158,1.54,0,30-39,Male,"$40,000 - $59,999",111,51,62,Hillary Clinton,FL,Independent,Once or twice a month,d
83,0.18,0,30-39,Female,"$60,000 - $79,999",42,53,0,Hillary Clinton,PA,Democrat,Never,d
83,0.13,0.2,18-29,Female,"Under $20,000",52,100,19,Hillary Clinton,AZ,Democrat,Seldom,d
87,1.98,0.5,30-39,Female,"$60,000 - $79,999",59,39,30,Donald Trump,OR,Republican,A few times a year,d
108,0.18,0,50-59,Male,"$80,000 - $99,999",60,60,0,Didn't vote,OK,Republican,Never,d
88,0.49,0.4,30-39,Male,"$60,000 - $79,999",36,85,0,Hillary Clinton,TX,Democrat,Never,d
1032,1.55,0.4,18-29,Male,"$60,000 - $79,999",3092,98,4,Hillary Clinton,NC,Democrat,Seldom,d
149,1.51,0,50-59,Male,"$60,000 - $79,999",53,5,94,Donald Trump,NV,Republican,Once a week,d
717,1.2,0.5,18-29,Male,"$20,000 - $39,999",930,71,77,Donald Trump,MN,Democrat,Once a week,d
76,1.94,0,30-39,Female,"Under $20,000",56,1,97,Someone else,UT,Republican,Once a week,d
108,1.06,0.6,18-29,Female,"Under $20,000",34,51,0,Hillary Clinton,VA,Independent,Never,d
93,1.21,0.4,60-69,Male,"$20,000 - $39,999",66,81,0,Hillary Clinton,VA,Independent,Never,d
130,1.74,0.4,60-69,Female,"$60,000 - $79,999",47,94,0,Didn't vote,NY,Democrat,Never,d
146,0.75,1,40-49,Male,"Over $100,000",26,51,0,Hillary Clinton,AZ,Independent,Never,d
115,1.96,0.4,50-59,Female,"$20,000 - $39,999",52,51,94,Didn't vote,MN,Independent,Seldom,d
112,1.58,0,40-49,Female,"$60,000 - $79,999",40,73,0,Hillary Clinton,FL,Democrat,Never,d
82,1.7,0.09,30-39,Male,"$60,000 - $79,999",37,19,2,Donald Trump,VA,Republican,Never,d
129,1.11,0,50-59,Male,"Over $100,000",180,11,95,Donald Trump,OK,Republican,Seldom,d
65,1.42,1,30-39,Male,"$80,000 - $99,999",41,51,90,Hillary Clinton,DE,Democrat,More than once a week,d
84,1.64,0.4,50-59,Male,Prefer not to state,50,5,100,Donald Trump,VA,Independent,Seldom,d
104,0.06,0,18-29,Female,"Under $20,000",454,1,67,Donald Trump,ME,Republican,More than once a week,d
885,0.77,0.4,30-39,Female,"$20,000 - $39,999",513,24,82,Hillary Clinton,FL,Democrat,More than once a week,d
840,0.44,0,18-29,Female,"Under $20,000",2276,95,1,Hillary Clinton,CA,Democrat,Seldom,d
203,0.43,0.1,18-29,Male,"$40,000 - $59,999",2186,85,85,Donald Trump,DC,Republican,Once or twice a month,d
946,1.82,0.3,30-39,Female,"Under $20,000",70,85,0,Hillary Clinton,OH,Democrat,Never,d
230,1.24,0,30-39,Male,Prefer not to state,88,57,39,Hillary Clinton,CA,Democrat,Once or twice a month,d
93,0.96,0,18-29,Male,"Under $20,000",147,88,0,Didn't vote,MA,Democrat,Never,d
477,0.92,0.2,30-39,Female,"$40,000 - $59,999",50,100,1,Hillary Clinton,CA,Democrat,Seldom,d
138,1.63,0.7,40-49,Female,"$80,000 - $99,999",89,85,5,Hillary Clinton,CT,Democrat,Seldom,d
360,0.61,1,18-29,Male,"Over $100,000",101,100,80,Hillary Clinton,NJ,Independent,Once a week,d
136,0.27,0,18-29,Female,"$40,000 - $59,999",89,39,51,Didn't vote,PA,Republican,Never,d
126,1.88,1,30-39,Female,"$20,000 - $39,999",103,100,0,Hillary Clinton,WV,Democrat,Never,d
272,0.64,0.2,60-69,Female,"$20,000 - $39,999",800,50,0,Donald Trump,CA,Republican,Never,d
114,1.64,0,30-39,Male,"$40,000 - $59,999",29,39,0,Didn't vote,NJ,Independent,Never,d
232,0.48,0.6,30-39,Female,"$60,000 - $79,999",874,73,65,Donald Trump,TX,Democrat,A few times a year,d
201,1.97,0.6,30-39,Male,"$40,000 - $59,999",1242,66,63,Donald Trump,TX,Republican,A few times a year,d
124,0.05,0,18-29,Male,"$20,000 - $39,999",125,60,0,Donald Trump,MI,Democrat,Never,d
192,1.81,0.5,18-29,Female,"$40,000 - $59,999",1253,79,100,Donald Trump,SC,Republican,Once or twice a month,d
76,1.81,1,18-29,Female,"$60,000 - $79,999",1242,60,92,Someone else,MO,Republican,Once or twice a month,d
56,1.85,0,30-39,Male,"Over $100,000",37,88,0,Hillary Clinton,IL,Democrat,Never,d
70,0.66,0,40-49,Male,"$40,000 - $59,999",66,72,22,Hillary Clinton,FL,Democrat,Never,d
90,1.94,0.4,30-39,Female,"$60,000 - $79,999",49,100,81,Hillary Clinton,SD,Democrat,Never,d
95,1.21,1,50-59,Male,"$20,000 - $39,999",53,82,0,Hillary Clinton,TX,Democrat,Never,d
116,0.8,0,30-39,Female,"$40,000 - $59,999",367,40,50,Someone else,IL,Independent,Once or twice a month,d
64,1.34,0,18-29,Female,"$60,000 - $79,999",34,50,78,Didn't vote,NJ,Independent,A few times a year,d
66,1.56,0.6,18-29,Male,"$60,000 - $79,999",120,50,0,Didn't vote,IL,Democrat,Never,d
90,0.94,0.2,18-29,Female,"$60,000 - $79,999",88,81,22,Didn't vote,NJ,Independent,A few times a year,d
243,0.75,0.4,50-59,Female,"$40,000 - $59,999",79,0,90,Donald Trump,NC,Republican,Once or twice a month,d
84,0.31,1,50-59,Other / Prefer not to state,"$40,000 - $59,999",61,96,81,Someone else,FL,Democrat,A few times a year,d
82,0.68,0.2,18-29,Male,"$40,000 - $59,999",47,91,0,Hillary Clinton,VA,Democrat,Never,d
76,0.22,0,50-59,Male,"$20,000 - $39,999",74,72,3,Hillary Clinton,OH,Democrat,Never,d
446,0.99,0.4,60-69,Female,"Under $20,000",126,58,61,Donald Trump,NC,Independent,Seldom,d
240,0.73,0.25,50-59,Male,"$20,000 - $39,999",40,60,6,Didn't vote,OH,Something else,Never,d
69,1.3,0,18-29,Male,"Under $20,000",24,21,94,Donald Trump,MA,Republican,More than once a week,d
345,0.33,0,30-39,Female,"$40,000 - $59,999",44,58,9,Donald Trump,NY,Republican,A few times a year,d
104,1.99,0.5,50-59,Female,"$20,000 - $39,999",43,51,39,Hillary Clinton,FL,Independent,Never,d
92,0.41,1,30-39,Female,"$20,000 - $39,999",49,100,100,Donald Trump,FL,Republican,Once or twice a month,d
308,0.44,1,30-39,Male,"$40,000 - $59,999",46,100,100,Donald Trump,TX,Democrat,Once a week,d
338,1.06,0.48,30-39,Male,"Over $100,000",28,63,39,Hillary Clinton,FL,Democrat,Seldom,d
117,1.32,1,50-59,Female,"Over $100,000",126,85,52,Someone else,CA,Democrat,Seldom,d
344,1.34,0,18-29,Male,"$40,000 - $59,999",36,63,65,Didn't vote,PA,Independent,A few times a year,d
1250,1.74,0.6,50-59,Female,"$40,000 - $59,999",172,0,50,Donald Trump,CA,Republican,Seldom,d
155,0.58,0.6,18-29,Female,"$40,000 - $59,999",100,70,5,Hillary Clinton,GA,Democrat,Never,d
72,0.11,0,18-29,Male,"$80,000 - $99,999",40,71,40,Hillary Clinton,NY,Democrat,Once or twice a month,d
400,0.54,0,18-29,Male,"Over $100,000",49,0,0,Didn't vote,NY,Independent,Never,d
1078,0.12,0,30-39,Male,"$40,000 - $59,999",97,75,0,Hillary Clinton,NC,Independent,Never,d
92,0.33,0,30-39,Female,"$60,000 - $79,999",43,40,0,Didn't vote,WI,Independent,Never,d
597,1.78,0.2,30-39,Female,"$20,000 - $39,999",35,50,0,Someone else,IA,Independent,Never,d
41,1.65,1,18-29,Male,"Over $100,000",36,68,3,Didn't vote,CA,Democrat,Never,d
140,0.23,0,18-29,Male,"$40,000 - $59,999",83,100,0,Hillary Clinton,CA,Democrat,Never,d
672,0.33,0.2,30-39,Male,"$40,000 - $59,999",705,1,76,Donald Trump,TX,Republican,Once a week,d
143,1.82,1,30-39,Female,"$80,000 - $99,999",82,5,0,Donald Trump,TN,Republican,Never,d
175,1.78,1,60-69,Female,"$20,000 - $39,999",81,61,100,Hillary Clinton,KS,Independent,Seldom,d
105,1.65,0,18-29,Female,"$20,000 - $39,999",40,80,0,Hillary Clinton,MO,Independent,Seldom,d
490,1.18,0,60-69,Male,"$80,000 - $99,999",111,45,18,Donald Trump,FL,Independent,Never,d
68,1.13,0.4,18-29,Female,"Over $100,000",49,63,30,Didn't vote,CA,Democrat,A few times a year,d
460,1.47,1,18-29,Male,"$60,000 - $79,999",446,82,83,Donald Trump,FL,Republican,Once a week,d
793,0.4,0,18-29,Female,"$60,000 - $79,999",461,82,8,Donald Trump,IL,Independent,Never,d
320,1.93,0,60-69,Female,"$60,000 - $79,999",413,81,0,Hillary Clinton,IL,Democrat,Never,d
81,1.75,1,18-29,Male,"Under $20,000",41,70,0,Hillary Clinton,FL,Democrat,Never,d
106,0.09,0,30-39,Male,"Under $20,000",30,65,8,Hillary Clinton,MO,Independent,A few times a year,d
102,1.02,0.5,40-49,Female,"$20,000 - $39,999",157,82,35,Hillary Clinton,0,Democrat,Seldom,d
803,0.81,0,30-39,Male,"$20,000 - $39,999",267,19,19,Donald Trump,PA,Republican,Once or twice a month,d
88,1.79,0,18-29,Female,"$20,000 - $39,999",36,9,19,Someone else,SC,Republican,Seldom,d
58,1.62,0.5,40-49,Female,"Over $100,000",58,95,0,Hillary Clinton,KY,Democrat,Seldom,d
122,0.15,0,40-49,Female,"Under $20,000",204,100,6,Hillary Clinton,CO,Independent,Never,d
156,0.64,0,60-69,Male,"Over $100,000",83,80,25,Someone else,NY,Independent,A few times a year,d
114,1.6,0,18-29,Male,"Over $100,000",65,63,9,Didn't vote,MS,Independent,Never,d
317,0.66,1,60-69,Male,"$20,000 - $39,999",113,23,0,Donald Trump,FL,Republican,Never,d
185,0.33,0,40-49,Female,"$40,000 - $59,999",34,60,0,Didn't vote,NY,Democrat,Never,d
90,1.52,0.5,18-29,Female,"Under $20,000",44,92,1,Hillary Clinton,FL,Democrat,Never,d
93,0.48,0,18-29,Female,"$40,000 - $59,999",30,81,0,Hillary Clinton,PA,Democrat,Never,d
820,0.37,0,18-29,Male,"$80,000 - $99,999",1359,1,0,Donald Trump,TX,Republican,A few times a year,d
843,1.73,0,18-29,Male,"Under $20,000",1887,43,0,Didn't vote,MN,Democrat,Never,d
104,1.59,0.4,40-49,Male,"$40,000 - $59,999",90,100,0,Hillary Clinton,IL,Democrat,Never,d
114,1.79,0.25,18-29,Female,"Under $20,000",68,20,31,Donald Trump,AZ,Republican,A few times a year,d
111,1.87,0.75,18-29,Male,"Over $100,000",65,75,24,Hillary Clinton,PA,Independent,A few times a year,d
602,1.8,0.4,30-39,Female,"$80,000 - $99,999",1887,100,30,Hillary Clinton,CA,Democrat,A few times a year,d
104,0.1,0.4,50-59,Female,"$20,000 - $39,999",52,100,6,Hillary Clinton,IL,Democrat,Never,d
80,0.26,0,30-39,Female,"$20,000 - $39,999",1443,100,18,Didn't vote,CA,Democrat,Never,d
40,0.29,0.8,30-39,Female,"$20,000 - $39,999",2999,68,13,Didn't vote,OK,Independent,Seldom,d
69,1.18,0,30-39,Male,"$60,000 - $79,999",71,100,1,Hillary Clinton,VA,Democrat,Never,d
